DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-14,EQ,174.0,177.0,172.4,172.8,173.4,173.25,174.21,583.4,99.8,1040659,181292476.95,79442,RAMASTEEL
2022-12-13,EQ,174.95,177.95,172.1,173.55,173.0,172.8,174.4,583.4,99.8,1004007,175095614.05,60828,RAMASTEEL
2022-12-12,EQ,166.9,179.65,165.7,165.65,173.0,173.55,175.08,583.4,99.8,1772582,310351462.05,104113,RAMASTEEL
2022-12-09,EQ,173.9,173.9,165.05,168.05,165.7,165.65,167.01,583.4,99.8,676209,112933645.15,4598,RAMASTEEL
2022-12-08,EQ,171.7,171.7,165.15,169.9,168.2,168.05,168.87,583.4,99.8,218100,36831262.75,3192,RAMASTEEL
2022-12-07,EQ,172.35,177.8,168.35,171.25,169.95,169.9,172.17,583.4,99.8,800500,137825053.75,49533,RAMASTEEL
2022-12-06,EQ,174.3,174.95,170.0,174.65,170.5,171.25,172.44,583.4,99.8,194598,33555522.05,3368,RAMASTEEL
2022-12-05,EQ,178.0,179.95,172.65,174.15,174.5,174.65,175.65,583.4,99.8,527755,92698277.75,17612,RAMASTEEL
2022-12-02,EQ,174.0,179.3,172.25,172.25,174.6,174.15,175.76,583.4,99.8,781291,137317437.95,7740,RAMASTEEL
2022-12-01,EQ,165.0,172.25,164.35,164.05,172.25,172.25,171.49,583.4,99.8,785889,134770728.75,3996,RAMASTEEL
2022-11-30,EQ,162.45,167.55,162.45,161.75,163.4,164.05,164.77,583.4,99.8,380081,62624292.05,6359,RAMASTEEL
2022-11-29,EQ,166.0,167.9,161.1,165.6,161.9,161.75,164.08,583.4,99.8,308700,50650162.6,12511,RAMASTEEL
2022-11-28,EQ,167.0,170.2,165.0,166.2,165.5,165.6,167.21,583.4,99.8,562187,94000650.0,46507,RAMASTEEL
2022-11-25,EQ,172.0,175.0,165.15,173.8,166.6,166.2,170.66,583.4,99.8,560811,95705465.9,19236,RAMASTEEL
2022-11-24,EQ,174.3,176.95,172.5,174.5,173.4,173.8,175.12,583.4,99.8,433703,75948733.65,21946,RAMASTEEL
2022-11-23,EQ,179.9,181.0,172.1,177.3,173.75,174.5,176.68,583.4,99.8,805973,142396844.1,56622,RAMASTEEL
2022-11-22,EQ,176.6,178.6,170.3,175.2,176.95,177.3,175.9,583.4,99.8,732448,128838170.45,15133,RAMASTEEL
2022-11-21,EQ,178.0,179.8,174.0,175.8,175.2,175.2,176.5,583.4,99.8,563774,99507196.6,18479,RAMASTEEL
2022-11-18,EQ,176.0,181.6,173.6,175.95,175.9,175.8,177.38,583.4,99.8,1834569,325419265.35,81473,RAMASTEEL
2022-11-17,EQ,167.4,175.95,165.0,167.6,175.95,175.95,173.74,583.4,99.8,1879338,326515483.45,136853,RAMASTEEL
2022-11-16,EQ,173.3,174.7,165.65,173.5,167.0,167.6,169.75,583.4,99.8,873362,148249801.8,47031,RAMASTEEL
2022-11-15,EQ,172.1,175.0,166.95,171.2,172.75,173.5,171.98,583.4,99.8,2683025,461427892.6,133996,RAMASTEEL
2022-11-14,EQ,167.0,172.3,160.15,164.1,171.2,171.2,168.67,583.4,99.8,3668162,618715017.9,114858,RAMASTEEL
2022-11-11,EQ,161.9,164.15,158.1,156.35,164.15,164.1,162.4,583.4,99.8,4155942,674927767.6,65305,RAMASTEEL
2022-11-10,EQ,148.5,156.35,146.0,148.95,156.35,156.35,154.45,583.4,99.8,584708,90309496.3,2835,RAMASTEEL
2022-11-09,EQ,150.9,150.9,145.35,144.65,148.9,148.95,147.45,583.4,99.8,440856,65004590.4,2530,RAMASTEEL
2022-11-07,EQ,153.4,156.35,143.8,151.35,144.95,144.65,149.32,583.4,99.8,453403,67703660.5,9145,RAMASTEEL
2022-11-04,EQ,152.0,154.35,151.0,151.7,151.1,151.35,152.41,583.4,99.8,253697,38666168.65,15132,RAMASTEEL
2022-11-03,EQ,148.5,154.6,148.5,151.75,151.0,151.7,152.09,583.4,99.8,629430,95731635.55,3946,RAMASTEEL
2022-11-02,EQ,153.1,157.5,150.25,156.55,151.3,151.75,152.47,583.4,99.8,900733,137339142.85,11155,RAMASTEEL
2022-11-01,EQ,162.0,162.75,154.5,159.0,155.65,156.55,157.73,583.4,99.8,2077787,327736066.0,20718,RAMASTEEL
2022-10-31,EQ,146.45,159.75,146.1,145.25,159.3,159.0,155.91,583.4,99.8,3243904,505758837.95,81714,RAMASTEEL
2022-10-28,EQ,147.5,149.0,142.95,137.8,145.95,145.25,145.8,583.4,99.8,1558663,227260694.8,39514,RAMASTEEL
2022-10-27,EQ,127.4,137.8,124.5,125.3,137.8,137.8,135.38,583.4,99.8,2635074,356737443.55,49661,RAMASTEEL
2022-10-25,EQ,127.9,130.0,124.2,127.35,124.75,125.3,126.98,583.4,99.8,265849,33756357.2,15052,RAMASTEEL
2022-10-24,EQ,125.7,134.7,125.35,123.55,128.0,127.35,129.04,583.4,99.8,655939,84641293.55,6079,RAMASTEEL
2022-10-21,EQ,127.8,128.6,121.8,125.85,124.25,123.55,125.76,583.4,99.8,375815,47263887.4,3840,RAMASTEEL
2022-10-20,EQ,127.95,131.55,125.1,128.9,126.0,125.85,128.05,583.4,99.8,429447,54992775.25,4897,RAMASTEEL
2022-10-19,EQ,130.0,135.35,127.55,131.8,127.8,128.9,131.31,583.4,99.8,725582,95279366.0,21180,RAMASTEEL
2022-10-18,EQ,133.4,140.0,128.0,133.0,129.9,131.8,134.23,583.4,99.8,4180742,561172054.75,22115,RAMASTEEL
2022-10-17,EQ,121.45,133.0,117.2,120.95,133.0,133.0,129.12,583.4,99.8,1959506,253004206.85,27333,RAMASTEEL
2022-10-14,EQ,119.85,125.45,115.4,116.05,122.0,120.95,121.52,583.4,99.8,1944870,236348593.6,56660,RAMASTEEL
2022-10-13,EQ,107.0,116.05,102.95,105.5,116.05,116.05,114.03,583.4,99.8,1613447,183974254.95,15958,RAMASTEEL
2022-10-12,EQ,106.2,108.9,104.15,106.2,106.0,105.5,106.34,583.4,99.8,232886,24765401.45,2006,RAMASTEEL
2022-10-11,EQ,108.6,108.95,105.5,108.1,106.0,106.2,106.72,583.4,99.8,138531,14783338.2,1630,RAMASTEEL
2022-10-10,EQ,104.5,109.0,104.5,108.05,108.4,108.1,107.05,583.4,99.8,140240,15012709.1,1825,RAMASTEEL
